episode,timestep,reward
5,2000,1.6
7,4000,0.0
13,6000,2.0
20,8000,2.0
25,10000,1.6
30,12000,1.6
33,14000,1.3333
35,16000,0.0
39,18000,1.5
45,20000,1.6667
48,22000,1.3333
54,24000,2.0
58,26000,1.5
67,28000,1.7778
70,30000,2.0
79,32000,1.7778
83,34000,1.5
92,36000,1.7778
101,38000,1.7778
109,40000,2.0
117,42000,2.0
121,44000,2.0
131,46000,2.0
143,48000,2.0
151,50000,2.0
159,52000,2.0
166,54000,2.0
171,56000,2.0
178,58000,2.0
184,60000,1.6667
189,62000,2.0
194,64000,1.6
204,66000,2.0
208,68000,2.0
217,70000,2.0
221,72000,2.0
229,74000,2.0
236,76000,2.0
246,78000,1.8
249,80000,2.0
258,82000,1.7778
264,84000,2.0
271,86000,2.0
278,88000,2.0
286,90000,1.75
294,92000,2.0
303,94000,2.0
313,96000,2.0
323,98000,2.0
332,100000,2.0
337,102000,2.0
347,104000,2.0
355,106000,2.0
360,108000,1.6
368,110000,2.0
376,112000,2.0
383,114000,2.0
393,116000,2.0
404,118000,2.0
420,120000,2.0
427,122000,2.0
438,124000,1.8182
446,126000,2.0
453,128000,1.7143
461,130000,2.0
471,132000,2.0
489,134000,2.0
497,136000,2.0
510,138000,2.0
519,140000,1.7778
531,142000,2.0
544,144000,2.0
553,146000,2.0
567,148000,2.0
574,150000,2.0
585,152000,2.0
593,154000,2.0
608,156000,2.0
621,158000,2.0
630,160000,2.0
645,162000,2.0
660,164000,2.0
679,166000,2.0
692,168000,2.0
704,170000,2.0
716,172000,2.0
731,174000,2.0
745,176000,2.0
757,178000,2.0
774,180000,2.0
791,182000,2.0
799,184000,2.0
803,186000,2.0
815,188000,2.0
825,190000,2.0
835,192000,2.0
847,194000,2.0
861,196000,2.0
874,198000,2.0
888,200000,2.0
908,202000,2.0
919,204000,1.8182
931,206000,2.0
939,208000,2.0
952,210000,2.0
965,212000,2.0
986,214000,2.0
997,216000,1.8182
1006,218000,2.0
1023,220000,2.0
1043,222000,2.0
1055,224000,2.0
1070,226000,2.0
1079,228000,1.7778
1090,230000,1.8182
1105,232000,2.0
1119,234000,2.0
1132,236000,2.0
1148,238000,2.0
1163,240000,2.0
1178,242000,2.0
1193,244000,2.0
1208,246000,2.0
1223,248000,2.0
1236,250000,2.0
1250,252000,2.0
1267,254000,2.0
1283,256000,2.0
1308,258000,2.0
1320,260000,2.0
1349,262000,2.0
1369,264000,2.0
1381,266000,2.0
1400,268000,2.0
1415,270000,2.0
1434,272000,2.0
1454,274000,2.0
1469,276000,2.0
1482,278000,2.0
1495,280000,2.0
1499,282000,1.5
1513,284000,2.0
1521,286000,2.0
1541,288000,2.0
1551,290000,2.0
1569,292000,2.0
1586,294000,2.0
1602,296000,2.0
1616,298000,2.0
1631,300000,2.0
1644,302000,2.0
1660,304000,2.0
1672,306000,2.0
1697,308000,2.0
1715,310000,2.0
1735,312000,2.0
1759,314000,2.0
1781,316000,2.0
1795,318000,2.0
1811,320000,2.0
1826,322000,2.0
1843,324000,2.0
1856,326000,2.0
1878,328000,2.0
1894,330000,2.0
1913,332000,2.0
1929,334000,2.0
1949,336000,2.0
1957,338000,2.0
1971,340000,2.0
1991,342000,2.0
2003,344000,2.0
2015,346000,2.0
2032,348000,2.0
2061,350000,2.0
2074,352000,2.0
2090,354000,2.0
2107,356000,2.0
2125,358000,2.0
2138,360000,2.0
2156,362000,2.0
2166,364000,2.0
2183,366000,2.0
2209,368000,2.0
2235,370000,2.0
2260,372000,2.0
2278,374000,2.0
2300,376000,2.0
2330,378000,2.0
2351,380000,2.0
2367,382000,2.0
2389,384000,2.0
2407,386000,2.0
2421,388000,2.0
2438,390000,2.0
2460,392000,2.0
2485,394000,2.0
2497,396000,2.0
2510,398000,2.0
2530,400000,2.0
2554,402000,2.0
2585,404000,2.0
2615,406000,2.0
2639,408000,2.0
2653,410000,1.8571
2669,412000,2.0
2693,414000,2.0
2721,416000,2.0
2741,418000,2.0
2761,420000,2.0
2786,422000,2.0
2803,424000,2.0
2830,426000,2.0
2850,428000,2.0
2873,430000,2.0
2885,432000,2.0
2901,434000,2.0
2922,436000,2.0
2936,438000,2.0
2953,440000,2.0
2966,442000,2.0
2982,444000,2.0
3000,446000,2.0
3012,448000,2.0
3029,450000,2.0
3038,452000,2.0
3059,454000,2.0
3081,456000,2.0
3102,458000,2.0
3120,460000,2.0
3133,462000,2.0
3152,464000,2.0
3162,466000,2.0
3192,468000,2.0
3206,470000,2.0
3221,472000,2.0
3235,474000,2.0
3245,476000,2.0
3259,478000,2.0
3269,480000,2.0
3284,482000,2.0
3303,484000,2.0
3320,486000,2.0
3337,488000,2.0
3353,490000,2.0
3371,492000,2.0
3394,494000,2.0
3412,496000,2.0
3435,498000,2.0
3458,500000,2.0
3479,502000,2.0
3498,504000,2.0
3521,506000,2.0
3547,508000,2.0
3566,510000,2.0
3578,512000,2.0
3590,514000,2.0
3604,516000,2.0
3627,518000,2.0
3650,520000,2.0
3674,522000,2.0
3691,524000,2.0
3708,526000,2.0
3726,528000,2.0
3747,530000,2.0
3769,532000,2.0
3787,534000,2.0
3812,536000,2.0
3821,538000,1.7778
3834,540000,2.0
3848,542000,2.0
3872,544000,2.0
3896,546000,2.0
3923,548000,2.0
3948,550000,2.0
3970,552000,2.0
3986,554000,2.0
4008,556000,2.0
4031,558000,2.0
4049,560000,2.0
4069,562000,2.0
4093,564000,2.0
4111,566000,2.0
4130,568000,2.0
4152,570000,2.0
4176,572000,2.0
4194,574000,2.0
4219,576000,2.0
4231,578000,2.0
4244,580000,2.0
4261,582000,2.0
4287,584000,2.0
4316,586000,2.0
4340,588000,2.0
4373,590000,2.0
4404,592000,2.0
4425,594000,2.0
4445,596000,2.0
4464,598000,2.0
4485,600000,2.0
4507,602000,2.0
4518,604000,2.0
4529,606000,2.0
4545,608000,2.0
4557,610000,2.0
4574,612000,2.0
4597,614000,2.0
4611,616000,2.0
4633,618000,2.0
4647,620000,2.0
4659,622000,2.0
4669,624000,2.0
4689,626000,2.0
4707,628000,2.0
4722,630000,2.0
4734,632000,2.0
4745,634000,2.0
4755,636000,2.0
4767,638000,2.0
4778,640000,2.0
4792,642000,2.0
4804,644000,2.0
4822,646000,2.0
4838,648000,2.0
4852,650000,2.0
4867,652000,2.0
4884,654000,2.0
4889,656000,2.0
4898,658000,2.0
4911,660000,2.0
4928,662000,2.0
4947,664000,2.0
4958,666000,2.0
4970,668000,2.0
4994,670000,2.0
5009,672000,2.0
5023,674000,2.0
5036,676000,2.0
5052,678000,2.0
5074,680000,2.0
5085,682000,2.0
5103,684000,2.0
5128,686000,2.0
5157,688000,2.0
5183,690000,2.0
5202,692000,2.0
5224,694000,2.0
5246,696000,2.0
5278,698000,2.0
5301,700000,2.0
5322,702000,2.0
5346,704000,2.0
5372,706000,2.0
5393,708000,2.0
5419,710000,2.0
5438,712000,2.0
5467,714000,2.0
5487,716000,2.0
5510,718000,2.0
5530,720000,2.0
5557,722000,2.0
5583,724000,2.0
5615,726000,2.0
5636,728000,2.0
5668,730000,2.0
5691,732000,2.0
5710,734000,2.0
5737,736000,2.0
5763,738000,2.0
5798,740000,2.0
5817,742000,2.0
5847,744000,2.0
5873,746000,2.0
5900,748000,2.0
5921,750000,2.0
5940,752000,2.0
5975,754000,2.0
6004,756000,2.0
6041,758000,2.0
6067,760000,2.0
6098,762000,2.0
6117,764000,2.0
6143,766000,2.0
6170,768000,2.0
6188,770000,2.0
6214,772000,2.0
6237,774000,2.0
6266,776000,2.0
6292,778000,2.0
6321,780000,2.0
6342,782000,2.0
6379,784000,2.0
6416,786000,2.0
6441,788000,2.0
6456,790000,2.0
6483,792000,2.0
6515,794000,2.0
6544,796000,2.0
6563,798000,2.0
6592,800000,2.0
6626,802000,2.0
6659,804000,2.0
6672,806000,2.0
6693,808000,2.0
6716,810000,2.0
6734,812000,2.0
6761,814000,2.0
6776,816000,2.0
6803,818000,2.0
6836,820000,2.0
6863,822000,2.0
6884,824000,2.0
6905,826000,2.0
6926,828000,2.0
6944,830000,2.0
6973,832000,2.0
7004,834000,2.0
7031,836000,2.0
7062,838000,2.0
7091,840000,2.0
7126,842000,2.0
7148,844000,2.0
7181,846000,2.0
7207,848000,2.0
7234,850000,2.0
7251,852000,2.0
7282,854000,2.0
7320,856000,2.0
7346,858000,2.0
7373,860000,2.0
7407,862000,2.0
7441,864000,2.0
7467,866000,2.0
7504,868000,2.0
7527,870000,2.0
7553,872000,2.0
7572,874000,2.0
7609,876000,2.0
7628,878000,2.0
